"Mediastinal Ganglioneuroblastoma","mediastinum neurofibroma","0"
"Vitamin C Deficiency","biotin deficiency","0"
"Inverted Follicular Keratosis","acanthoma","0"
"Rhabdoid Meningioma","meningioma","1"
"Uterine Ligament Serous Adenocarcinoma","uterine ligament clear cell adenocarcinoma","0"
"Gestational Diabetes","type 1 diabetes mellitus","0"
"Syndrome of Apparent Mineralocorticoid Excess","lipid metabolism disorder","0"
"Mikulicz Disease","primary immunodeficiency disease","0"
"Fibroosseous Pseudotumor of Digits","ossifying fibroma","0"
"Posterior Fossa Ependymoma, Group A (PFA)","posterior fossa group A ependymoma","0"
"Posterolateral Myocardial Infarction by ECG Finding","inferior myocardial infarction","0"
"Prostate Leiomyosarcoma","prostate sarcoma","1"
"Status Epilepticus","epilepsy","1"
"Esophagitis","esophageal cancer","0"
"Bursitis","hemarthrosis","0"
"Pancreatic Intraductal Papillary-Mucinous Neoplasm, High Grade","pancreatic invasive intraductal papillary-mucinous carcinoma","0"
"Synovial Sarcoma","synovium cancer","1"
"Bladder Clear Cell Adenocarcinoma","bladder carcinoma","0"
"Pseudohermaphroditism","disorder of sexual development","1"
"Cutaneous Nodular Melanoma","spitzoid melanoma","0"
"Bladder Diverticulum","urinary bladder cancer","0"
"Familial Hypertrophic Cardiomyopathy","hypertrophic cardiomyopathy","1"
"Jejunal Neoplasm","duodenal benign neoplasm","0"
"Angiocentric Glioma","spinal cord disease","0"
"Oncocytic Adenoma","pineocytoma","0"
"Middle Cranial Fossa Meningioma","meningioma","1"
"Spindle Cell Oncocytoma","pituitary gland benign neoplasm","0"
"Alopecia","hypotrichosis 13","0"
"Eosinophilic Meningitis","eosinophilic meningitis","0"
"Cervical Non-Keratinizing Squamous Cell Carcinoma","cervical keratinizing squamous cell carcinoma","0"
"Vitamin C Deficiency","scurvy","0"
"Acute Myocarditis","acute myocarditis","0"
"Pancreatoblastoma","colloid carcinoma of the pancreas","0"
"Aspartylglycosaminuria","sialuria","0"
"Castleman Disease","lymphoproliferative syndrome 2","0"
"Cytochrome-C Oxidase Deficiency","mitochondrial pyruvate carrier deficiency","0"
"Obese","obesity","0"
"Ciliary Body Melanoma","ciliary body spindle cell melanoma","0"
"Congenital Infundibular Stenosis","pulmonary valve stenosis","1"
"De Sanctis-Cacchione Syndrome","autosomal recessive disease","0"
"Inclusion Body Myositis","polymyositis","0"
"Orbit Embryonal Rhabdomyosarcoma","orbit alveolar rhabdomyosarcoma","0"
"Intestinal Disorder","diarrhea","0"
"Herpetic Gastritis","gastritis","0"
"Myxoid Glioneuronal Tumor","arteriovenous malformations of the brain","0"
"Omphalocele","visceral heterotaxy","0"
"Polymicrogyria","cerebral degeneration","0"
"Choroid Melanoma","malignant choroid melanoma","0"
"Prostate Adenoid Cystic Carcinoma","prostate adenocarcinoma","0"
"Melorheostosis","craniometaphyseal dysplasia","0"
"Creutzfeldt-Jakob Disease","scrapie","0"
"Prostate Rhabdomyosarcoma","prostate angiosarcoma","0"
"Progressive Multifocal Leukoencephalopathy","common wart","0"
"B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1","B-lymphoblastic leukemia/lymphoma with ETV6-RUNX1","0"
"Childhood Central Nervous System Choriocarcinoma","uterine corpus choriocarcinoma","0"
"Neonatal Candidiasis","esophageal candidiasis","0"
"Genital Herpes","herpetic whitlow","0"
"Movement Disorder","traumatic brain injury","0"
"Invasive Bladder Lymphoepithelioma-Like Carcinoma","invasive bladder transitional cell carcinoma","1"
"Malignant Hypopharyngeal Neoplasm","gastrointestinal system cancer","0"
"Achenbach Syndrome","pityriasis rubra pilaris","0"
"Thyroid Gland Papillary and Follicular Carcinoma","tall cell variant papillary carcinoma","0"
"Psammomatous Meningioma","transitional meningioma","0"
"MCD Diffuse Large B-Cell Lymphoma","N1 diffuse large B-cell lymphoma","0"
"Pyomyositis","myositis","1"
"Cheilitis","mouth disease","0"
"Localized Pulmonary Fibrosis","localized pulmonary fibrosis","0"
"Malignant Testicular Germ Cell Tumor","testicular cancer","0"
"Syringoma","eccrine sweat gland neoplasm","0"
"Vulvar Squamous Neoplasm","vulvar disease","0"
"Toxic Nodular Goiter","hyperthyroidism","1"
"Wolman Disease","lysosomal acid lipase deficiency","1"
"Mucopolysaccharidosis Type I","mucopolysaccharidosis IV","0"
"Liver Solitary Fibrous Tumor","hepatobiliary benign neoplasm","0"
"Dermatosis Papulosa Nigra","photosensitivity disease","0"
"Gasserian Meningioma","meningioma","1"
"Peripheral Ganglioneuroblastoma","ganglioneuroblastoma","1"
"Dependent Personality Disorder","antisocial personality disorder","0"
"Cleft Palate","orofacial cleft 13","0"
"Fibroblastic Liposarcoma","fibroblastic liposarcoma","0"
"Asbestosis","interstitial lung disease","0"
"Adult Pleomorphic Rhabdomyosarcoma","childhood pleomorphic rhabdomyosarcoma","0"
"Epidermolysis Bullosa Simplex","junctional epidermolysis bullosa","0"
"Indolent Systemic Mastocytosis","extracutaneous mastocytoma","0"
"Skin Signet Ring Cell Basal Cell Carcinoma","follicular basal cell carcinoma","0"
"Pancreatic Cystadenocarcinoma","adenocarcinoma","0"
"Herpetic Whitlow","herpes simplex","1"
"Eosinophilic Gastritis","eosinophilic gastritis","0"
"Cole-Carpenter Syndrome","osteogenesis imperfecta type 13","0"
"Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type","cervical mucinous adenocarcinoma","0"
"Van der Woude Syndrome","syndrome","1"
"Hereditary Retinal Dystrophy","dystrophies primarily involving the retinal pigment epithelium","0"
"Splenic Manifestation of Leukemia","splenic disease","0"
"Gliofibroma","fibrillary astrocytoma","0"
"Early Gastric Cancer","gastric adenocarcinoma","1"
"Mixed Germ Cell Tumor","embryonal cancer","0"
"Pancreatic Insufficiency","pancreas disease","1"
"Vulvar Dystrophy","ulceration of vulva","0"
"Composite Lymphoma","diffuse large B-cell lymphoma","0"
"Fredrickson Type IV Lipidemia","lipid metabolism disorder","0"
"Thyroiditis","hypothyroidism","0"
"Jugular Foramen Meningioma","posterior fossa meningioma","0"
"Lymphoid Leukemia","hematologic cancer","0"
"Corneal Disorder","eye disease","1"
"Trichinosis","trichostrongyloidiasis","0"
"Non-Hodgkin Lymphoma","thymus lymphoma","0"
"Atypical Spitz Nevus","nodular malignant melanoma","0"
"Post-Traumatic Stress Disorder","neurotic disorder","0"
"Mediastinal Angiosarcoma","gallbladder angiosarcoma","0"
"Extratemporal Epilepsy","visual epilepsy","0"
"Renal Pelvis Neoplasm","nephrogenic adenoma","0"
"Testicular Polyembryoma","testicular malignant germ cell cancer","1"
"Giant Cell Tumor","fibroosseous pseudotumor of digits","0"
"Incontinentia Pigmenti","Dowling-Degos disease","0"
"Diffuse Idiopathic Skeletal Hyperostosis","normophosphatemic familial tumoral calcinosis","0"
"Cirrhosis","immunoglobulin light chain amyloidosis","0"
