"Medulloblastoma, SHH-Activated, TP53-Mutant[SEP][CLS]medulloblastoma SHH activated","1"
"Lymphocyte-Rich Classic Hodgkin Lymphoma[SEP][CLS]thymoma","0"
"Ovarian Solid Teratoma[SEP][CLS]cervix carcinoma","0"
"Synchronous Multifocal Osteosarcoma[SEP][CLS]multifocal osteogenic sarcoma","1"
"Achondroplasia[SEP][CLS]osteochondrodysplasia","1"
"Breast Signet Ring Cell Carcinoma[SEP][CLS]breast adenocarcinoma","1"
"Minimal Change Glomerulonephritis[SEP][CLS]nephrotic syndrome","1"
"Malignant Neoplasm of Lower Jaw Bone[SEP][CLS]lung disease","0"
"Medulloblastoma, Non-WNT/Non-SHH[SEP][CLS]medulloblastoma","1"
"Malignant Cardiac Germ Cell Tumor[SEP][CLS]mature teratoma of the ovary","0"
"Dermatitis Herpetiformis[SEP][CLS]small intestine cancer","0"
"Mediastinitis[SEP][CLS]connective tissue disease","1"
"Severe Combined Immunodeficiency[SEP][CLS]myocarditis","0"
"Ovarian Biphasic or Triphasic Teratoma[SEP][CLS]ovarian germ cell teratoma","1"
"Anal Disorder[SEP][CLS]impulse control disorder","0"
"Uterine Corpus Apoplectic Leiomyoma[SEP][CLS]seborrheic keratosis","0"
"Splenic Manifestation of Leukemia[SEP][CLS]spleen cancer","1"
"Childhood Meningeal Melanoma[SEP][CLS]meningeal melanoma","1"
"Tibial Adamantinoma[SEP][CLS]ureter transitional cell carcinoma","0"
"Malignant Ovarian Cyst[SEP][CLS]ovarian cancer","1"
"Mixed Cell Adenoma[SEP][CLS]adenoma","1"
"Pancreatic Insufficiency[SEP][CLS]pancreas disease","1"
"Prostate Acinar Mucinous Adenocarcinoma[SEP][CLS]cerebrum cancer","0"
"Stiff Person Syndrome[SEP][CLS]movement disease","1"
"Refractory Malignant Testicular Germ Cell Tumor[SEP][CLS]clear cell meningioma","0"
"Childhood Central Nervous System Choriocarcinoma[SEP][CLS]ovary epithelial cancer","0"
"Interstitial Nephritis[SEP][CLS]low grade glioma","0"
"Stiff Person Syndrome[SEP][CLS]gallbladder carcinoma","0"
"Verrucous Lesion[SEP][CLS]viral infectious disease","1"
"Cherry Hemangioma[SEP][CLS]skin benign neoplasm","1"
"Suprasellar Meningioma[SEP][CLS]dry eye syndrome","0"
"Coccidiosis[SEP][CLS]renal cell carcinoma","0"
"Amelanotic Melanoma[SEP][CLS]melanoma","1"
"Renal Failure[SEP][CLS]kidney disease","1"
"Dentatorubral-Pallidoluysian Atrophy[SEP][CLS]cholangitis","0"
"Freeman-Sheldon Syndrome[SEP][CLS]distal arthrogryposis","1"
"Disseminated Intravascular Coagulation in Newborn[SEP][CLS]primary cutaneous T-cell non-Hodgkin lymphoma","0"
"Synpolydactyly[SEP][CLS]subglottis squamous cell carcinoma","0"
"Cervical Keratinizing Squamous Cell Carcinoma[SEP][CLS]cervical squamous cell carcinoma","1"
"Endometrioid Stromal Sarcoma of the Vagina[SEP][CLS]rectosigmoid junction cancer","0"
"Apocrine Adenoma[SEP][CLS]apocrine sweat gland neoplasm","1"
"Extraventricular Neurocytoma[SEP][CLS]fibrosarcoma","0"
"Speech Disorder[SEP][CLS]disease by infectious agent","0"
"Thyroid Gland Follicular Carcinoma[SEP][CLS]posterior pituitary gland neoplasm","0"
"Chordoma[SEP][CLS]notochordal cancer","1"
"Alpha Thalassemia[SEP][CLS]thalassemia","1"
"Gastroparesis[SEP][CLS]functional gastric disease","1"
"Language Disorder[SEP][CLS]communication disorder","1"
"Mixed Cellularity Classic Hodgkin Lymphoma[SEP][CLS]cholestasis","0"
"Thanatophoric Dysplasia[SEP][CLS]osteochondrodysplasia","1"
"Chondroid Syringoma[SEP][CLS]eccrine sweat gland neoplasm","1"
"Pulmonary Valvular Insufficiency[SEP][CLS]cognitive disorder","0"
"Spindle Cell Squamous Cell Carcinoma[SEP][CLS]skin squamous cell carcinoma","1"
"Wolfram Syndrome[SEP][CLS]autoimmune disease of cardiovascular system","0"
"Juvenile Pilocytic Astrocytoma[SEP][CLS]syndrome","0"
"Myocarditis[SEP][CLS]salivary gland cancer","0"
"Glucose Metabolism Disorder[SEP][CLS]carbohydrate metabolic disorder","1"
"Stage IVB Bladder Cancer[SEP][CLS]lower respiratory tract disease","0"
"Epidermolytic Ichthyosis[SEP][CLS]ichthyosis","1"
"Neuropathy, Hereditary Sensory and Autonomic, Type I[SEP][CLS]hereditary sensory neuropathy","1"
"Neuroaxonal Dystrophy[SEP][CLS]dental pulp disease","0"
"Epithelioid Hemangioendothelioma[SEP][CLS]malignant hemangioma","1"
"Tylosis[SEP][CLS]palmoplantar keratosis","1"
"Aspartylglycosaminuria[SEP][CLS]lysosomal storage disease","1"
"Respiratory Syncytial Virus Infection[SEP][CLS]congenital mesoblastic nephroma","0"
