"Medulloblastoma, SHH-Activated, TP53-Mutant[SEP]Medulloblastoma, SHH-Activated","medulloblastoma SHH activated[SEP]medulloblastoma SHH activated and TP53 mutant[SEP]medulloblastoma SHH activated and TP53 wild-type","1"
"Lymphocyte-Rich Classic Hodgkin Lymphoma[SEP]Classic Hodgkin Lymphoma","thymoma[SEP]encapsulated thymoma[SEP]spindle cell thymoma[SEP]mixed type thymoma[SEP]combined thymoma[SEP]thymoma type B[SEP]invasive malignant thymoma[SEP]type C thymoma[SEP]noninvasive malignant thymoma","0"
"Ovarian Solid Teratoma[SEP]Mature Ovarian Teratoma","cervix carcinoma[SEP]exocervical carcinoma[SEP]cervical adenocarcinoma[SEP]cervical squamous cell carcinoma[SEP]cervical adenoid cystic carcinoma[SEP]cervical adenoid basal carcinoma[SEP]cervical large cell neuroendocrine carcinoma[SEP]cervix small cell carcinoma[SEP]endocervical carcinoma","0"
"Synchronous Multifocal Osteosarcoma[SEP]Multifocal Osteosarcoma","multifocal osteogenic sarcoma[SEP]synchronous multifocal osteogenic sarcoma[SEP]asynchronous multifocal osteogenic sarcoma","1"
"Achondroplasia[SEP]Non-Neoplastic Bone Disorder","osteochondrodysplasia[SEP]campomelic dysplasia[SEP]acheiropody[SEP]acrocapitofemoral dysplasia[SEP]atelosteogenesis[SEP]Boomerang dysplasia[SEP]brachyolmia[SEP]midface dysplasia[SEP]schneckenbecken dysplasia[SEP]omodysplasia[SEP]chondrodysplasia Blomstrand type[SEP]Desbuquois dysplasia[SEP]fibrochondrogenesis[SEP]hypertrichotic osteochondrodysplasia Cantu type[SEP]microcephalic osteodysplastic primordial dwarfism type I[SEP]microcephalic osteodysplastic primordial dwarfism type II[SEP]Leri-Weill dyschondrosteosis[SEP]metaphyseal dysplasia[SEP]otospondylomegaepiphyseal dysplasia, autosomal recessive[SEP]spondyloepimetaphyseal dysplasia[SEP]pycnodysostosis[SEP]hypochondroplasia[SEP]achondrogenesis[SEP]hypochondrogenesis[SEP]Kniest dysplasia[SEP]pseudoachondroplasia[SEP]acromesomelic dysplasia[SEP]diaphyseal medullary stenosis with malignant fibrous histiocytoma[SEP]otospondylomegaepiphyseal dysplasia, autosomal dominant[SEP]calvarial doughnut lesions with bone fragility[SEP]Kenny-Caffey syndrome[SEP]progressive pseudorheumatoid arthropathy of childhood[SEP]Silverman-Handmaker type dyssegmental dysplasia[SEP]acromicric dysplasia[SEP]Torrance type platyspondylic dysplasia[SEP]metachondromatosis[SEP]metaphyseal dysplasia-maxillary hypoplasia-brachydactyly syndrome[SEP]osteoglophonic dysplasia[SEP]gnathodiaphyseal dysplasia[SEP]parastremmatic dwarfism[SEP]spondyloperipheral dysplasia[SEP]chondrodysplasia with joint dislocations gPAPP type[SEP]spondyloepiphyseal dysplasia[SEP]spondylometaphyseal dysplasia[SEP]osteogenesis imperfecta[SEP]multiple epiphyseal dysplasia[SEP]thanatophoric dysplasia[SEP]cleidocranial dysplasia[SEP]diastrophic dysplasia[SEP]Blount's disease[SEP]Weissenbacher-Zweymuller syndrome[SEP]achondroplasia","1"
"Breast Signet Ring Cell Carcinoma[SEP]Signet Ring Cell Carcinoma[SEP]Breast Adenocarcinoma[SEP]Invasive Breast Carcinoma","breast adenocarcinoma[SEP]glycogen-rich carcinoma[SEP]mammary Paget's disease[SEP]breast signet ring cell adenocarcinoma[SEP]breast mucinous carcinoma[SEP]breast secretory carcinoma[SEP]breast medullary carcinoma[SEP]acinic cell breast carcinoma[SEP]inflammatory breast carcinoma[SEP]breast apocrine carcinoma[SEP]breast oncocytic carcinoma[SEP]breast tubular carcinoma","1"
"Minimal Change Glomerulonephritis[SEP]Glomerulonephritis","nephrotic syndrome[SEP]lipoid nephrosis[SEP]familial nephrotic syndrome","1"
"Malignant Neoplasm of Lower Jaw Bone[SEP]Malignant Bone Neoplasm","lung disease[SEP]invasive aspergillosis[SEP]pulmonary aspergilloma[SEP]lung abscess[SEP]hyperlucent lung[SEP]sparganosis[SEP]pneumonic plague[SEP]dirofilariasis[SEP]strongyloidiasis[SEP]meconium aspiration syndrome[SEP]respiratory failure[SEP]pneumocystosis[SEP]bronchopulmonary dysplasia[SEP]pulmonary alveolar microlithiasis[SEP]pulmonary hemosiderosis[SEP]pulmonary alveolar proteinosis[SEP]granulomatosis with polyangiitis[SEP]alveolar echinococcosis[SEP]capillariasis[SEP]lung cancer[SEP]pulmonary sarcoidosis[SEP]hantavirus pulmonary syndrome[SEP]cystic echinococcosis[SEP]pulmonary systemic sclerosis[SEP]acute chest syndrome[SEP]pneumonic tularemia[SEP]obstructive lung disease[SEP]middle lobe syndrome[SEP]bronchiolitis[SEP]pulmonary tuberculosis[SEP]interstitial lung disease[SEP]lymphangioleiomyomatosis[SEP]pulmonary plasma cell granuloma[SEP]lung benign neoplasm[SEP]pulmonary immaturity[SEP]Silo filler's disease[SEP]pneumonia[SEP]pulmonary artery disease[SEP]maple bark strippers' lung[SEP]toxocariasis[SEP]Goodpasture syndrome","0"
"Medulloblastoma, Non-WNT/Non-SHH[SEP]Medulloblastoma Molecular Subtypes","medulloblastoma[SEP]brain stem medulloblastoma[SEP]medulloblastoma WNT activated[SEP]medulloblastoma SHH activated[SEP]medulloblastoma non-WNT/non-SHH[SEP]large cell medulloblastoma[SEP]cerebellar vermis medulloblastoma[SEP]medullomyoblastoma[SEP]adult medulloblastoma[SEP]melanotic medulloblastoma[SEP]childhood medulloblastoma[SEP]desmoplastic/nodular medulloblastoma","1"
"Malignant Cardiac Germ Cell Tumor[SEP]Cardiac Germ Cell Tumor[SEP]Malignant Cardiac Neoplasm[SEP]Malignant Extragonadal Germ Cell Tumor","mature teratoma of the ovary[SEP]ovarian cystic teratoma[SEP]childhood mature teratoma of the ovary[SEP]ovarian fetiform teratoma[SEP]ovarian solid teratoma","0"
