"Medulloblastoma, SHH-Activated, TP53-Mutant","medulloblastoma SHH activated","1"
"Lymphocyte-Rich Classic Hodgkin Lymphoma","thymoma","0"
"Ovarian Solid Teratoma","cervix carcinoma","0"
"Synchronous Multifocal Osteosarcoma","multifocal osteogenic sarcoma","1"
"Achondroplasia","osteochondrodysplasia","1"
"Breast Signet Ring Cell Carcinoma","breast adenocarcinoma","1"
"Minimal Change Glomerulonephritis","nephrotic syndrome","1"
"Malignant Neoplasm of Lower Jaw Bone","lung disease","0"
"Medulloblastoma, Non-WNT/Non-SHH","medulloblastoma","1"
"Malignant Cardiac Germ Cell Tumor","mature teratoma of the ovary","0"
"Dermatitis Herpetiformis","small intestine cancer","0"
"Mediastinitis","connective tissue disease","1"
"Severe Combined Immunodeficiency","myocarditis","0"
"Ovarian Biphasic or Triphasic Teratoma","ovarian germ cell teratoma","1"
"Anal Disorder","impulse control disorder","0"
"Uterine Corpus Apoplectic Leiomyoma","seborrheic keratosis","0"
"Splenic Manifestation of Leukemia","spleen cancer","1"
"Childhood Meningeal Melanoma","meningeal melanoma","1"
"Tibial Adamantinoma","ureter transitional cell carcinoma","0"
"Malignant Ovarian Cyst","ovarian cancer","1"
"Mixed Cell Adenoma","adenoma","1"
"Pancreatic Insufficiency","pancreas disease","1"
"Prostate Acinar Mucinous Adenocarcinoma","cerebrum cancer","0"
"Stiff Person Syndrome","movement disease","1"
"Refractory Malignant Testicular Germ Cell Tumor","clear cell meningioma","0"
"Childhood Central Nervous System Choriocarcinoma","ovary epithelial cancer","0"
"Interstitial Nephritis","low grade glioma","0"
"Stiff Person Syndrome","gallbladder carcinoma","0"
"Verrucous Lesion","viral infectious disease","1"
"Cherry Hemangioma","skin benign neoplasm","1"
"Suprasellar Meningioma","dry eye syndrome","0"
"Coccidiosis","renal cell carcinoma","0"
"Amelanotic Melanoma","melanoma","1"
"Renal Failure","kidney disease","1"
"Dentatorubral-Pallidoluysian Atrophy","cholangitis","0"
"Freeman-Sheldon Syndrome","distal arthrogryposis","1"
"Disseminated Intravascular Coagulation in Newborn","primary cutaneous T-cell non-Hodgkin lymphoma","0"
"Synpolydactyly","subglottis squamous cell carcinoma","0"
"Cervical Keratinizing Squamous Cell Carcinoma","cervical squamous cell carcinoma","1"
"Endometrioid Stromal Sarcoma of the Vagina","rectosigmoid junction cancer","0"
"Apocrine Adenoma","apocrine sweat gland neoplasm","1"
"Extraventricular Neurocytoma","fibrosarcoma","0"
"Speech Disorder","disease by infectious agent","0"
"Thyroid Gland Follicular Carcinoma","posterior pituitary gland neoplasm","0"
"Chordoma","notochordal cancer","1"
"Alpha Thalassemia","thalassemia","1"
"Gastroparesis","functional gastric disease","1"
"Language Disorder","communication disorder","1"
"Mixed Cellularity Classic Hodgkin Lymphoma","cholestasis","0"
"Thanatophoric Dysplasia","osteochondrodysplasia","1"
"Chondroid Syringoma","eccrine sweat gland neoplasm","1"
"Pulmonary Valvular Insufficiency","cognitive disorder","0"
"Spindle Cell Squamous Cell Carcinoma","skin squamous cell carcinoma","1"
"Wolfram Syndrome","autoimmune disease of cardiovascular system","0"
"Juvenile Pilocytic Astrocytoma","syndrome","0"
"Myocarditis","salivary gland cancer","0"
"Glucose Metabolism Disorder","carbohydrate metabolic disorder","1"
"Stage IVB Bladder Cancer","lower respiratory tract disease","0"
"Epidermolytic Ichthyosis","ichthyosis","1"
"Neuropathy, Hereditary Sensory and Autonomic, Type I","hereditary sensory neuropathy","1"
"Neuroaxonal Dystrophy","dental pulp disease","0"
"Epithelioid Hemangioendothelioma","malignant hemangioma","1"
"Tylosis","palmoplantar keratosis","1"
"Aspartylglycosaminuria","lysosomal storage disease","1"
"Respiratory Syncytial Virus Infection","congenital mesoblastic nephroma","0"
"Diffuse Cerebral Sclerosis of Schilder","uterine fibroid","0"
"Penile Mixed Squamous Cell Carcinoma","penis squamous cell carcinoma","1"
"Distal Bile Duct Carcinoma","bile duct adenoma","0"
"Rectal Cloacogenic Carcinoma","benign giant cell tumor","0"
"Laryngeal Stenosis","frontal sinus benign neoplasm","0"
"Degenerative Disorder","central nervous system disease","1"
"Spindle Cell Oncocytoma","mesenchymal chondrosarcoma","0"
"Nesidioblastosis","hypoglycemia","1"
"Ovarian Mucinous Cystadenoma","ovarian cystadenoma","1"
"Primary Hyperoxaluria Type III","primary hyperoxaluria","1"
"Lactotroph Pituitary Neuroendocrine Tumor","functioning pituitary adenoma","1"
"MELAS Syndrome","mitochondrial encephalomyopathy","1"
"Periosteal Chondrosarcoma","ovarian disease","0"
"Varicose Vein","vein disease","1"
"Gastroparesis","opportunistic mycosis","0"
"Peritoneal Mesothelial Neoplasm","anemia","0"
"Malignant Essential Hypertension","essential hypertension","1"
"Gastric Tubular Adenocarcinoma","gastric adenocarcinoma","1"
"Intestinal Volvulus","parasitic infectious disease","0"
"Chordoid Meningioma","meningioma","1"
"Astrocytoma, IDH-Mutant, Grade 4","autonomic nervous system neoplasm","0"
"Myxoid Leiomyosarcoma","leiomyosarcoma","1"
"Werdnig-Hoffmann Disease","childhood spinal muscular atrophy","1"
"Thrombocytopenia Due to Immune Destruction","systemic mastocytosis","0"
"Leri-Weill Dyschondrosteosis","biliary tract benign neoplasm","0"
"Orbit Cavernous Hemangioma","perineurioma","0"
"Fallopian Tube Disorder","ovarian carcinoma","0"
"Posteroinferior Myocardial Infarction by ECG Finding","uterine fibroid","0"
"Tangier Disease","hypolipoproteinemia","1"
"Mixed Receptive-Expressive Language Disorder","amnestic disorder","0"
"Smooth Muscle Neoplasm","bronchus adenoma","0"
"Xanthogranulomatous Pyelonephritis","chronic pyelonephritis","1"
"Osteosclerosis","bone remodeling disease","1"
"Steroid Lipomatosis","diaphragm disease","0"
"Partial Retinal Arterial Occlusion","cystitis","0"
"Emery-Dreifuss Muscular Dystrophy","muscular dystrophy","1"
"Neurofibroma","amino acid metabolic disorder","0"
"Brucellosis","primary bacterial infectious disease","1"
"Pituitary Gland Necrosis","skin disease","0"
"Ischemic Fasciitis","pulmonary large cell neuroendocrine carcinoma","0"
"Hypoplastic Right Heart Syndrome","congenital heart disease","1"
"Aortitis","B-cell lymphoma","0"
"Dacryocystitis","personality disorder","0"
"Conus Medullaris Neoplasm","spinal cancer","1"
"Thyroid Gland Microfollicular Adenoma","follicular adenoma","1"
"Mycosis Fungoides","pancreas disease","0"
"Inflammatory Leiomyosarcoma","leiomyosarcoma","1"
"Cervical Adenoid Cystic Carcinoma","external ear disease","0"
"Malignant Testicular Germ Cell Tumor","testicular germ cell cancer","1"
"Intrahepatic Cholestasis","cholestasis","1"
"Ileal Neoplasm","small intestine benign neoplasm","1"
"Protein S Deficiency Disease","psychotic disorder","0"
"Childhood Mediastinal Neurogenic Neoplasm","posterior fossa ependymoma","0"
"Malignant Buccal Mucosa Neoplasm","liposarcoma","0"
"Aromatic L-Amino-Acid Decarboxylase Deficiency","parasitic ectoparasitic infectious disease","0"
"Lung Adenoid Cystic Carcinoma","lung carcinoma","1"
"Small Intestinal Sarcoma","muscle cancer","0"
"Classic Variant of Chromophobe Renal Cell Carcinoma","testicular yolk sac tumor","0"
"Sebaceous Adenoma","retinal cancer","0"
