"Kartagener Syndrome","nephroblastoma","0"
"Ocular Hypertension","chondrosarcoma","0"
"Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System","myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1","0"
"Appendix Mucinous Cystadenocarcinoma","pulmonary valve disease","0"
"Abducens Nerve Disorder","meningioma","0"
"Fibromyalgia","EWSR1-negative small round cell tumor","0"
"Malignant Neoplasm of Lower Jaw Bone","jaw cancer","1"
"Subacute Lymphocytic Thyroiditis","functioning pituitary adenoma","0"
"Childhood Brain Stem Astrocytoma","uterine cancer","0"
"Ileitis","liposarcoma","0"
"Mediastinal Teratoma","breast lobular carcinoma","0"
"Holmes-Adie Syndrome","neurodegenerative disease","0"
"Achromatopsia","intestinal disease","0"
"Extramammary Paget Disease","skin carcinoma","1"
"Lymphoid Leukemia","myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1","0"
"Tricuspid Valve Insufficiency","ovarian dysfunction","0"
"Deep Fibrous Histiocytoma","lacrimal apparatus disease","0"
"Testicular Granulosa Cell Tumor","B-cell lymphoma","0"
"Pleomorphic Xanthoastrocytoma","low grade glioma","1"
"Cranial Nodular Fasciitis","laryngitis","0"
"Breast Apocrine Adenosis","eye disease","0"
"Goiter","testicular cancer","0"
"Uterine Corpus Myxoid Leiomyosarcoma","acute asthma","0"
"Lacrimal System Disorder","ectodermal dysplasia","0"
"Chronic Monocytic Leukemia","choroid plexus cancer","0"
"Adult Yolk Sac Tumor","dental pulp disease","0"
"Lipoadenoma","central nervous system sarcoma","0"
"Microcephaly","small cell sarcoma","0"
"Juvenile Breast Papillomatosis","cervical adenomyoma","0"
"Idiopathic CD4-Positive T-Lymphocytopenia","fallopian tube adenocarcinoma","0"
"Adrenal Rest Tumor","papilloma","0"
"Familial Hypertrophic Cardiomyopathy","hypertrophic cardiomyopathy","1"
"Angiokeratoma of Fordyce","postgastrectomy syndrome","0"
"Mongolian Spot","hypoglycemia","0"
"Urethral Urothelial Papilloma","urethral benign neoplasm","1"
"Perthes Disease","urinary tract obstruction","0"
"Small Cell Osteosarcoma","granulosa cell tumor","0"
"Macrotrabecular Hepatoblastoma","bone benign neoplasm","0"
"Hypogonadotropic Hypogonadism with Anosmia","cholestasis","0"
"Anthracosilicosis","gastritis","0"
"Lactotroph Pituitary Neuroendocrine Tumor","syndrome","0"
"Mixed Cell Adenoma","pancreatic cystadenocarcinoma","0"
"Vulvar Alveolar Soft Part Sarcoma","central nervous system cancer","0"
"Penile Urethral Malignant Neoplasm","bladder urothelial carcinoma","0"
"Protoplasmic Astrocytoma","neuroma","0"
"Silicosis","pneumoconiosis","1"
"Pemphigus Vulgaris","lymphatic system disease","0"
"Vulvar Sebaceous Carcinoma","chronic ulcer of skin","0"
"Intraocular Pressure Decreased","acute myeloid leukemia","0"
"Anal Canal Neuroendocrine Neoplasm","anus benign neoplasm","1"
"Early Gastric Cancer","organic acidemia","0"
"Newcastle Disease","visceral heterotaxy","0"
"Cutaneous Schwannoma","phosphorus metabolism disease","0"
"Gastric Gastrin-Producing Neuroendocrine Tumor","scleral disease","0"
"Guillain-Barre Syndrome","carcinoma","0"
"Venous Hemangioma","skull base chordoma","0"
"Diffuse Large B-Cell Lymphoma Activated B-Cell Type","childhood leukemia","0"
"Hepatitis C Infection","esophageal disease","0"
"Oral Cavity Disorder","placenta disease","0"
"Malignant Frontal Sinus Neoplasm","hematologic cancer","0"
"Breast Hypertrophy","skin sarcoma","0"
